index,key,term_type,Key [],Description [],English [en],Russian [ru],Chinese (Simplified) [zh-CN],French [fr],German [de],Spanish [es],Brazil [pt-BR],Chinese (Traditional) [zh-TW],Korean [ko],Polish [pl],Japanese [ja]
93,Dialogue/Conversation/37/Entry/2/Dialogue Text,0,Dialogue/Conversation/37/Entry/2/Dialogue Text,,Never seen it before.,Впервые вижу.,我从没见过这东西。,Je n’ai jamais vu ça avant.,Das hab ich noch nie gesehen.,No sé de qué me hablas.,Nunca vi isso antes.,我從沒見過這東西。,,Nigdy w życiu tego nie widziałem.,見たことないな。
94,Dialogue/Conversation/38/Entry/1/Dialogue Text,0,Dialogue/Conversation/38/Entry/1/Dialogue Text,,Hi! Just don't drag it out.,Привет! Только не тяни.,嗨！别磨磨蹭蹭的。,"Bonjour ! Traînez pas trop, hein.",Hallo! Ziehen Sie das Ganze bitte nicht in die Länge.,"¡Hola! Ten cuidado y no arrastres, porfa.",Olá! Só não prolongue isso.,嗨！別拖拖拉拉的。,,Hej! Nie przeciągaj sprawy.,どうも！あまり長引かせないでくださいよ。
95,Dialogue/Conversation/39/Entry/1/Dialogue Text,0,Dialogue/Conversation/39/Entry/1/Dialogue Text,,I'm so fed up with all this...,Как же мне всё надело…,我受够这一切了……,J’en ai vraiment marre de tout ça...,Ich hab das alles so satt ...,"Qué pereza, te lo juro.",Essa coisa toda já cansou...,我受夠這一切了……,,Mam już serdecznie dość tego wszystkiego...,もううんざりだよ...
96,Dialogue/Conversation/40/Entry/1/Dialogue Text,0,Dialogue/Conversation/40/Entry/1/Dialogue Text,,"Come on, make it quick, I'm in a hurry.","Давай быстрее, я тороплюсь.",快点，动作麻利点，我赶时间。,"Allez, faites vite, je suis en retard.","Legen Sie ’nen Zahn zu, ich hab’s eilig.","Venga, va, que tengo prisa.","Vamos lá, seja rápido, estou com pressa.",快點，動作俐落點，我趕時間。,,"No dawaj, ruchy, spieszy mi się.",ちょっと、早くしてくれないかな、急いでるんだよね。
97,Dialogue/Conversation/41/Entry/1/Dialogue Text,0,Dialogue/Conversation/41/Entry/1/Dialogue Text,,"Show this, take off that... For crying out loud! It's like we're working at a secret facility... Oh, right, we are...","Там покажи, то сними… да сколько можно. Будто работаем на секретном объекте… а, да, точно...",出示这个、摘掉那个……天啊！搞得跟在什么秘密设施上班一样……哦，对，还真是。,"Montrez ceci, enlevez cela... Mais bon sang ! C’est comme si on travaillait dans une installation secrète... Ah oui, c’est vrai, c’est le cas...","Zeigen Sie mir dies, machen Sie jenes … Ich kann’s nicht mehr hören! Als würden wir in einer geheimen Einrichtung arbeiten … Moment mal, das tun wir ja tatsächlich …","Dame esto, quítate aquello... ¡Ni que esto fuera un lugar de máxima segur...! Ah.","Mostra isso, tira aquilo... minha nossa! Parece que estamos trabalhando em uma instalação secreta... Ah, é verdade, estamos mesmo...",出示這個、摘掉那個……天啊！搞得跟在什麼秘密設施上班一樣……哦，對，還真是。,,"Pokaż to, zdejmij tamto... Do cholery! Jakbyśmy pracowali w jakiejś tajnej bazie... A no tak...",あれを見せろ、あれを脱げ...っていい加減にしてもらいたいね！まるで秘密の施設で働いているみたい...あ、そうだ、そうだった…
98,Dialogue/Conversation/42/Entry/1/Dialogue Text,0,Dialogue/Conversation/42/Entry/1/Dialogue Text,,I can't wait to go home...,Скорее бы домой…,真想赶紧下班回家……,J’ai hâte de rentrer chez moi...,"Ich kann’s kaum erwarten, nach Hause zu kommen ...",Qué ganas tengo de irme a casa.,Mal posso esperar para voltar para casa...,真想趕緊下班回家……,,Nie mogę się doczekać domu...,早く帰りたいよ...
99,Dialogue/Conversation/43/Entry/1/Dialogue Text,0,Dialogue/Conversation/43/Entry/1/Dialogue Text,,Hello!,Здравствуйте!,你好！,Bonjour !,Hallo!,¡Hola!,Olá!,你好！,,Cześć!,こんにちは！
100,Dialogue/Conversation/44/Entry/1/Dialogue Text,0,Dialogue/Conversation/44/Entry/1/Dialogue Text,,Still here?,Всё сидишь тут?,还没走呢？,Encore ici ?,Hocken Sie den ganzen Tag hier rum?,¿Sigues ahí?,Ainda aqui?,還沒走呢？,,Ciągle tutaj?,まだここにいるんだ？
101,Dialogue/Conversation/45/Entry/1/Dialogue Text,0,Dialogue/Conversation/45/Entry/1/Dialogue Text,,Greetings!,Приветствую тебя!,幸会！,Salutation !,Guten Tag!,¡Saludos!,Saudações!,幸會！,,Witam!,こんにちは！
102,Dialogue/Conversation/46/Entry/1/Dialogue Text,0,Dialogue/Conversation/46/Entry/1/Dialogue Text,,Greetings!,Приветствую тебя!,幸会！,Salutation !,Guten Tag!,¡Saludos!,Saudações!,幸會！,,Witam!,こんにちは！
103,Dialogue/Conversation/47/Entry/1/Dialogue Text,0,Dialogue/Conversation/47/Entry/1/Dialogue Text,,Hi there!,Приветик!,嗨！,Salut !,Hallo!,"¡Hola, hola!",Olá!,嗨！,,Powitanko!,どうも！
104,Dialogue/Conversation/48/Entry/1/Dialogue Text,0,Dialogue/Conversation/48/Entry/1/Dialogue Text,,Hi there!,Приветик!,嗨！,Salut !,Hallo!,"¡Hola, hola!",Olá!,嗨！,,Powitanko!,どうも！
105,Dialogue/Conversation/49/Entry/1/Dialogue Text,0,Dialogue/Conversation/49/Entry/1/Dialogue Text,,"Come on, start up your checker.","Давай, заводи свою проверялку.",赶紧的，启动查验设备吧。,"Allez, allumez votre appareil.","Na los, ziehen Sie Ihr Ding durch.","Venga, no me hagas perder el tiempo.","Vamos lá, ligue seu computador.",趕緊的，啟動查驗裝置吧。,,Włącz analizator.,ほら、はやくチェッカーを起動してよ。
106,Dialogue/Conversation/50/Entry/1/Dialogue Text,0,Dialogue/Conversation/50/Entry/1/Dialogue Text,,Yo!,Дароу!,嗨哟！,Coucou !,Hey!,"¡Hola, colega!",E aí!,嗨喲！,Korean,Uważaj!,どうもっ！
107,Dialogue/Conversation/51/Entry/1/Dialogue Text,0,Dialogue/Conversation/51/Entry/1/Dialogue Text,,"Come through, don't dawdle.","Проходи, не задерживайся.",过去吧，别磨蹭。,"Entrez, ne vous attardez pas.","Rein mit Ihnen, nicht trödeln.","Adelante, sin tonterías.","Entra logo, não fique enrolando.",過去吧，別磨蹭。,,"Przechodź, nie zwalniaj.",通れ、もたもたするんじゃない。
108,Dialogue/Conversation/51/Entry/2/Dialogue Text,0,Dialogue/Conversation/51/Entry/2/Dialogue Text,,"But you were the one who... ah, never mind!","Да вы ж сами… ай, ладно!",明明是你……算了，当我没说。,"Mais c’est vous qui… ah, peu importe !","Aber Sie waren doch derjenige, der … ach, vergessen Sie’s!","¿Tú no eres...? Mira, da igual.","Mas foi você quem... Ah, deixa pra lá!",明明是你……算了，當我沒說。,,Ale to ty miałeś... nieważne!,でもあなたは確か...えっと、何でもない！
109,Dialogue/Conversation/52/Entry/1/Dialogue Text,0,Dialogue/Conversation/52/Entry/1/Dialogue Text,,Good.,Добро.,没问题。,Bien.,Gut.,Bien.,Ótimo.,沒問題。,,Dobrze.,よし。
110,Dialogue/Conversation/52/Entry/2/Dialogue Text,0,Dialogue/Conversation/52/Entry/2/Dialogue Text,,Yep...,Ага…,行吧……,Ouaip...,Ja ...,Ajá.,Isso...,行吧……,,Tak...,あぁ...
111,Dialogue/Conversation/53/Entry/1/Dialogue Text,0,Dialogue/Conversation/53/Entry/1/Dialogue Text,,You can go.,Можешь идти.,你可以过去了。,Vous pouvez y aller.,Sie können gehen.,Puedes irte.,Pode ir.,你可以過去了。,,Możesz iść.,行っていいぞ。
112,Dialogue/Conversation/53/Entry/2/Dialogue Text,0,Dialogue/Conversation/53/Entry/2/Dialogue Text,,Wonderful.,Вот и славно.,很好。,Merveilleux !,Großartig.,Maravilloso,Maravilha.,很好。,,Cudownie.,良かった。
113,Dialogue/Conversation/54/Entry/1/Dialogue Text,0,Dialogue/Conversation/54/Entry/1/Dialogue Text,,Everything is in order.,Всё в порядке.,一切正常。,Tout est en ordre.,Alles in Ordnung.,Todo en orden.,Está tudo em ordem.,一切正常。,,Wszystko w porządku.,すべて正常だ。
114,Dialogue/Conversation/54/Entry/2/Dialogue Text,0,Dialogue/Conversation/54/Entry/2/Dialogue Text,,Of course! You've just wasted my time.,Естественно! Сплошная трата времени.,那是自然！你纯粹就是在浪费我的时间。,Bah oui ! Vous ne faites que gâcher mon temps.,Sag ich doch! Was für eine Zeitverschwendung.,Eso ya lo sabía yo. Vaya pérdida de tiempo.,Claro! Você só me fez perder tempo.,那是自然！你純粹就是在浪費我的時間。,,Oczywiście! Zmarnowałeś mi czas.,当り前だよ！あんたはこっちの時間を無駄にしただけ。
115,Dialogue/Conversation/55/Entry/1/Dialogue Text,0,Dialogue/Conversation/55/Entry/1/Dialogue Text,,"Wait, what's that? Just kidding, go ahead...","Так, а это что? Ладно-ладно, шучу, иди…",等等，那是什么？哈哈，开个玩笑，快走吧……,"Minute, qu’est-ce que c’est ? Je plaisante, allez-y...","Moment, was ist das denn? ... Kleiner Scherz, gehen Sie ruhig weiter ...","¿Qué es eso? Ja, ja. Era broma, pasa.","Espera aí, o que é isso? Brincadeira, pode ir...",等等，那是什麼？哈哈，開個玩笑，快走吧……,,"Hej, co to jest? Żartowałem, rób swoje...",待て、それは何だ？いや冗談だ、通ってくれ...
116,Dialogue/Conversation/55/Entry/2/Dialogue Text,0,Dialogue/Conversation/55/Entry/2/Dialogue Text,,Don't scare me like that!,Не пугай так!,别这么吓我！,Ne me faites pas peur comme ça !,Jagen Sie mir doch nicht so einen Schreck ein!,¡Me va a dar un ataque al corazón!,Não me assuste!,別這麼嚇我！,,Nie strasz mnie tak!,そうやって人を脅すもんじゃないよ！
117,Dialogue/Conversation/56/Entry/1/Dialogue Text,0,Dialogue/Conversation/56/Entry/1/Dialogue Text,,Everything is in order. Next!,Всё в порядке. Следующий!,查验无误。下一位！,Tout est en ordre. Suivant !,Nichts zu beanstanden. Der Nächste!,Todo en orden. ¡Siguiente!,Está tudo em ordem. Próximo!,查驗無誤。下一位！,,Wszystko w porządku. Następny!,異常なし。次！
118,Dialogue/Conversation/56/Entry/2/Dialogue Text,0,Dialogue/Conversation/56/Entry/2/Dialogue Text,,Phew...,Фух…,呼……,Pfiou...,Puh ...,Uf...,Ufa...,呼……,,Uff...,ふぅ...
119,Dialogue/Conversation/57/Entry/1/Dialogue Text,0,Dialogue/Conversation/57/Entry/1/Dialogue Text,,You. Shall. Not. Pass! Go away.,Ты. Не. Пройдёшь! Уходи.,你、别、想、过、去！走开。,Vous. Ne. Passerez. Pas ! Tirez-vous.,Du. Kommst. Nicht. Vorbei! Bitte verschwinden Sie.,No. Puedes. Pasar. Largo.,Você. Não. Vai. Passar! Vá embora.,你、別、想、過、去！走開。,,Nie. Możesz. Przejść! Odejdź.,君を通すわけにはいかないよ。帰るんだな。
120,Dialogue/Conversation/57/Entry/2/Dialogue Text,0,Dialogue/Conversation/57/Entry/2/Dialogue Text,,Could you be less dramatic?,Можно менее пафосно?,能不能别这么夸张？,Pourriez-vous être un peu moins théâtral ?,Geht es vielleicht weniger dramatisch?,Agradecería un poco más de humanidad.,Você poderia ser menos dramático?,能不能別這麼誇張？,,Nie możesz mniej dramatycznie?,もっと普通にできないのかな？
121,Dialogue/Conversation/58/Entry/1/Dialogue Text,0,Dialogue/Conversation/58/Entry/1/Dialogue Text,,Not today.,"Не, не сегодня.",今天不行。,Pas aujourd’hui.,Heute nicht.,Hoy no.,"Hoje, não.",今天不行。,,Nie dzisiaj.,今日はだめだ。
122,Dialogue/Conversation/58/Entry/2/Dialogue Text,0,Dialogue/Conversation/58/Entry/2/Dialogue Text,,Why?!,Да почему?!,凭什么？！,Pourquoi ?,Warum?!,¿Por qué?,Por quê?,憑什麼？！,,Dlaczego?!,どうして？！
123,Dialogue/Conversation/59/Entry/1/Dialogue Text,0,Dialogue/Conversation/59/Entry/1/Dialogue Text,,I won't let you through.,Не пущу.,我不会放你过去的。,Je ne vous laisserai pas passer.,Ich lasse Sie nicht durch.,No voy a dejarte pasar.,Não vou deixar você passar.,我不會放你過去的。,,Nie przepuszczę cię.,通しはしない。
124,Dialogue/Conversation/59/Entry/2/Dialogue Text,0,Dialogue/Conversation/59/Entry/2/Dialogue Text,,Oh...,Ох…,哦……,Oh…,Oh ...,Pfff...,Ah...,哦……,,Acha...,あぁ...
125,Dialogue/Conversation/60/Entry/1/Dialogue Text,0,Dialogue/Conversation/60/Entry/1/Dialogue Text,,Bye-bye!,"Давай, до свидания!",拜拜！,Bye bye !,Tschüss!,¡Chaíto!,Tchau!,拜拜！,,Pa pa!,バイバイ！
126,Dialogue/Conversation/60/Entry/2/Dialogue Text,0,Dialogue/Conversation/60/Entry/2/Dialogue Text,,I'm filing a complaint!,Я буду жаловаться!,我要投诉你！,Je vais déposer une réclamation !,Ich werde eine Beschwerde einreichen!,¡Pienso quejarme!,Vou apresentar uma queixa!,我要投訴你！,,Składam skargę!,苦情を申し立ててやる！
127,Dialogue/Conversation/61/Entry/1/Dialogue Text,0,Dialogue/Conversation/61/Entry/1/Dialogue Text,,Denied.,Отказано.,驳回。,C’est refusé.,Abgelehnt.,Acceso denegado.,Negado.,駁回。,,Odmowa.,却下。
128,Dialogue/Conversation/62/Entry/1/Dialogue Text,0,Dialogue/Conversation/62/Entry/1/Dialogue Text,,Why are you looking at me like that?,Почему вы так смотрите?,你干嘛那样看着我？,Pourquoi me regardez-vous comme ça ?,Warum schauen Sie mich so an?,¿Por qué me miras con esa cara?,Por que você está me olhando assim?,你幹嘛那樣看著我？,,Dlaczego tak na mnie patrzysz?,何だってそんな目でこっちを見るんだよ。
129,Dialogue/Conversation/62/Entry/2/Dialogue Text,0,Dialogue/Conversation/62/Entry/2/Dialogue Text,,Because it's the last time.,Потому что в последний раз.,因为这是最后一次了。,Parce que c’est la dernière fois.,Weil es das letzte Mal sein wird.,Porque es la última vez.,Porque é a última vez.,因為這是最後一次了。,,Bo to ostatni raz.,お前を見るのはこれが最後だからだ。
130,Dialogue/Conversation/63/Entry/1/Dialogue Text,0,Dialogue/Conversation/63/Entry/1/Dialogue Text,,What did you press?,А куда вы нажали?,你按了什么按钮？,Sur quoi avez-vous appuyé ?,Worauf haben Sie da gedrückt?,¿Qué has presionado?,O que você apertou?,你按了什麼按鈕？,,Co nacisnąłeś?,何を押した？
131,Dialogue/Conversation/63/Entry/2/Dialogue Text,0,Dialogue/Conversation/63/Entry/2/Dialogue Text,,Doesn't matter...,Уже не важно…,无所谓了……,Peu importe...,Das spielt jetzt keine Rolle mehr ...,¿Qué más te da?,Não importa...,無所謂了……,,Nieważne...,関係ないだろう...
132,Dialogue/Conversation/64/Entry/1/Dialogue Text,0,Dialogue/Conversation/64/Entry/1/Dialogue Text,,Don't you dare!,Не смей!,你敢！,Vous n’oserez pas !,Wagen Sie es ja nicht!,¡Ni se te ocurra!,Nem pense nisso!,你敢！,,Nie waż się!,押すな！
133,Dialogue/Conversation/64/Entry/2/Dialogue Text,0,Dialogue/Conversation/64/Entry/2/Dialogue Text,,Too late...,Поздно…,太迟了……,Trop tard...,Zu spät ...,Tarde.,Tarde demais...,太遲了……,,Za późno...,手遅れだよ…
134,Dialogue/Conversation/65/Entry/1/Dialogue Text,0,Dialogue/Conversation/65/Entry/1/Dialogue Text,,Umm... Maybe I should just leave.,"Э-э-э… может, я просто уйду.",呃……或许我还是直接走吧。,Hum... Je devrais peut-être y aller.,Ähm … Vielleicht sollte ich einfach gehen.,Creo que debería irme...,Hum... Talvez eu devesse ir embora.,呃……或許我還是直接走吧。,,Eee... Może sobie po prostu pójdę.,えっとぉ...帰ったほうがいいよね。
135,Dialogue/Conversation/65/Entry/2/Dialogue Text,0,Dialogue/Conversation/65/Entry/2/Dialogue Text,,No way.,Ни в коем случае.,没门。,Aucune chance.,Auf keinen Fall.,Ni de coña.,Sem chance.,想得美。,,Nie ma mowy.,だめだ。
136,Dialogue/Conversation/66/Entry/1/Dialogue Text,0,Dialogue/Conversation/66/Entry/1/Dialogue Text,,Are you sure?,"Может, не надо?",你确定吗？,Vous en êtes sûr ?,Sind Sie sich sicher?,¿Seguro?,Você tem certeza?,你確定嗎？,,Na pewno?,正気？
